pair_id,a_age,a_education,a_location,a_career_field,a_career_ambition,a_openness,a_extraversion,a_agreeableness,a_conscientiousness,a_chronotype,a_spontaneity,a_love_language,a_emotional_expressiveness,b_age,b_education,b_location,b_career_field,b_career_ambition,b_openness,b_extraversion,b_agreeableness,b_conscientiousness,b_chronotype,b_spontaneity,b_love_language,b_emotional_expressiveness,compatibility_score,compatible,relationship_longevity_months
32805,38,3,Urban,Law,0.43,0.59,0.86,0.81,0.57,0.38,0.52,Receiving Gifts,0.96,42,2,Suburban,Healthcare,0.63,0.79,0.2,0.47,0.24,0.77,0.52,Receiving Gifts,0.8,66.3,1,65
32806,55,4,Rural,Creative Arts,0.61,0.48,0.74,0.47,0.22,0.17,0.84,Receiving Gifts,0.19,21,3,Urban,Healthcare,0.55,0.51,0.5,0.43,0.46,0.42,0.77,Quality Time,0.53,69.4,1,85
32807,43,1,Suburban,Education,0.54,0.32,0.31,0.19,0.75,0.73,0.57,Physical Touch,0.64,53,4,Urban,Law,0.68,0.34,0.53,0.45,0.29,0.8,0.63,Words of Affirmation,0.25,63.6,0,73
32808,35,2,Urban,Science,0.42,0.71,0.11,0.77,0.64,0.57,0.26,Receiving Gifts,0.27,52,3,Rural,Law,0.33,0.86,0.43,0.28,0.58,0.47,0.37,Acts of Service,0.49,58.5,0,68
32809,21,4,Suburban,Law,0.79,0.4,0.91,0.12,0.41,0.67,0.87,Acts of Service,0.31,48,3,Urban,Finance,0.67,0.08,0.72,0.75,0.68,0.62,0.83,Receiving Gifts,0.16,63.5,0,86
32810,32,1,Urban,Entrepreneurship,0.22,0.5,0.21,0.5,0.44,0.58,0.2,Acts of Service,0.44,37,3,Urban,Law,0.51,0.8,0.77,0.5,0.88,0.76,0.17,Acts of Service,0.35,73.6,1,104
32811,40,1,Urban,Science,0.32,0.68,0.32,0.2,0.65,0.83,0.26,Quality Time,0.55,26,3,Urban,Law,0.34,0.78,0.61,0.26,0.46,0.62,0.09,Quality Time,0.51,87.4,1,94
32812,23,3,Urban,Law,0.59,0.78,0.18,0.77,0.46,0.29,0.76,Receiving Gifts,0.38,32,3,Rural,Tech,0.51,0.63,0.04,0.54,0.15,0.5,0.7,Physical Touch,0.2,50.0,0,21
32813,24,3,Urban,Marketing,0.62,0.6,0.72,0.49,0.34,0.63,0.58,Quality Time,0.36,37,2,Suburban,Law,0.67,0.23,0.49,0.26,0.41,0.31,0.35,Receiving Gifts,0.94,46.9,0,41
32814,32,4,Suburban,Marketing,0.44,0.83,0.43,0.5,0.64,0.83,0.35,Quality Time,0.67,20,2,Suburban,Finance,0.37,0.59,0.73,0.74,0.21,0.4,0.33,Words of Affirmation,0.74,66.4,1,69
32815,26,3,Urban,Entrepreneurship,0.42,0.13,0.48,0.55,0.38,0.4,0.76,Quality Time,0.74,33,4,Urban,Tech,0.88,0.77,0.21,0.64,0.51,0.56,0.19,Acts of Service,0.24,58.3,0,38
32816,47,2,Rural,Entrepreneurship,0.6,0.53,0.48,0.88,0.44,0.7,0.16,Acts of Service,0.31,32,1,Suburban,Marketing,0.43,0.59,0.72,0.86,0.73,0.16,0.6,Acts of Service,0.45,85.7,1,92
32817,45,2,Rural,Entrepreneurship,0.31,0.44,0.65,0.35,0.07,0.45,0.77,Quality Time,0.29,26,2,Urban,Engineering,0.51,0.23,0.37,0.35,0.5,0.21,0.29,Receiving Gifts,0.38,77.5,1,112
32818,47,1,Urban,Science,0.39,0.62,0.83,0.37,0.9,0.78,0.81,Physical Touch,0.52,19,2,Rural,Tech,0.58,0.46,0.07,0.5,0.42,0.14,0.2,Acts of Service,0.15,38.9,0,20
32819,25,1,Suburban,Engineering,0.31,0.84,0.27,0.23,0.64,0.37,0.31,Receiving Gifts,0.53,33,4,Urban,Tech,0.3,0.17,0.58,0.49,0.73,0.52,0.5,Acts of Service,0.93,71.7,1,93
32820,52,5,Urban,Law,0.66,0.74,0.58,0.56,0.06,0.6,0.57,Physical Touch,0.3,38,4,Urban,Creative Arts,0.59,0.4,0.35,0.43,0.3,0.49,0.8,Physical Touch,0.28,74.5,1,71
32821,52,1,Urban,Entrepreneurship,0.45,0.81,0.67,0.82,0.33,0.59,0.43,Receiving Gifts,0.23,42,1,Suburban,Law,0.26,0.06,0.72,0.48,0.48,0.22,0.74,Receiving Gifts,0.81,57.8,0,18
32822,43,2,Suburban,Marketing,0.54,0.46,0.28,0.92,0.21,0.64,0.64,Physical Touch,0.37,20,5,Suburban,Creative Arts,0.55,0.74,0.41,0.66,0.6,0.16,0.2,Acts of Service,0.1,62.3,0,56
32823,47,3,Urban,Creative Arts,0.61,0.63,0.33,0.24,0.52,0.11,0.55,Quality Time,0.19,39,2,Suburban,Healthcare,0.62,0.32,0.66,0.28,0.42,0.58,0.3,Quality Time,0.35,68.1,1,67
32824,52,3,Urban,Education,0.26,0.89,0.12,0.84,0.66,0.33,0.36,Quality Time,0.6,22,1,Urban,Marketing,0.31,0.76,0.28,0.51,0.63,0.51,0.46,Words of Affirmation,0.26,79.7,1,74
32825,55,5,Urban,Entrepreneurship,0.53,0.56,0.23,0.64,0.5,0.5,0.4,Acts of Service,0.24,43,1,Urban,Law,0.27,0.76,0.83,0.52,0.63,0.72,0.08,Physical Touch,0.56,65.0,1,61
32826,28,3,Urban,Tech,0.15,0.48,0.39,0.5,0.73,0.8,0.75,Acts of Service,0.41,19,3,Urban,Law,0.37,0.15,0.78,0.62,0.52,0.33,0.42,Words of Affirmation,0.64,53.9,0,38
32827,37,2,Rural,Engineering,0.55,0.1,0.51,0.47,0.38,0.61,0.09,Words of Affirmation,0.51,29,5,Urban,Entrepreneurship,0.47,0.5,0.19,0.59,0.78,0.07,0.58,Words of Affirmation,0.25,58.9,0,74
32828,48,3,Suburban,Healthcare,0.33,0.31,0.6,0.42,0.31,0.8,0.6,Physical Touch,0.55,39,4,Urban,Marketing,0.57,0.27,0.28,0.57,0.9,0.54,0.51,Words of Affirmation,0.47,51.0,0,76
32829,51,4,Suburban,Marketing,0.66,0.43,0.61,0.7,0.45,0.53,0.43,Quality Time,0.58,28,3,Suburban,Education,0.51,0.21,0.77,0.56,0.21,0.5,0.44,Quality Time,0.27,80.4,1,107
32830,29,2,Urban,Science,0.22,0.07,0.52,0.3,0.52,0.36,0.49,Words of Affirmation,0.25,41,3,Urban,Entrepreneurship,0.68,0.41,0.48,0.64,0.52,0.48,0.57,Physical Touch,0.24,65.5,1,81
32831,45,2,Rural,Finance,0.31,0.87,0.66,0.57,0.09,0.66,0.21,Words of Affirmation,0.39,39,3,Rural,Marketing,0.65,0.47,0.66,0.48,0.76,0.73,0.49,Receiving Gifts,0.57,63.5,0,79
32832,20,4,Rural,Science,0.66,0.16,0.64,0.18,0.77,0.2,0.13,Acts of Service,0.27,45,1,Suburban,Science,0.29,0.85,0.55,0.35,0.76,0.34,0.67,Words of Affirmation,0.24,49.2,0,88
32833,22,3,Rural,Finance,0.14,0.71,0.55,0.22,0.77,0.53,0.44,Quality Time,0.49,54,2,Suburban,Tech,0.44,0.46,0.8,0.18,0.77,0.45,0.6,Quality Time,0.42,90.5,1,106
32834,30,3,Urban,Law,0.53,0.28,0.31,0.71,0.4,0.78,0.61,Quality Time,0.42,43,3,Urban,Science,0.59,0.24,0.26,0.37,0.33,0.45,0.71,Physical Touch,0.3,78.1,1,87
32835,29,3,Urban,Law,0.52,0.22,0.54,0.46,0.71,0.64,0.59,Acts of Service,0.19,47,3,Urban,Tech,0.64,0.78,0.34,0.31,0.81,0.36,0.24,Words of Affirmation,0.0,67.2,1,62
32836,18,4,Rural,Engineering,0.58,0.59,0.36,0.7,0.36,0.16,0.5,Acts of Service,0.52,29,4,Urban,Entrepreneurship,0.42,0.82,0.61,0.36,0.46,0.81,0.31,Receiving Gifts,0.49,47.5,0,39
32837,36,3,Suburban,Tech,0.4,0.79,0.47,0.58,0.32,0.16,0.27,Acts of Service,0.5,47,3,Urban,Science,0.74,0.61,0.32,0.32,0.12,0.39,0.71,Receiving Gifts,0.7,56.4,0,64
32838,46,3,Urban,Finance,0.4,0.52,0.3,0.63,0.44,0.44,0.13,Words of Affirmation,0.26,54,4,Suburban,Creative Arts,0.54,0.14,0.34,0.39,0.08,0.33,0.77,Physical Touch,0.61,54.6,0,45
32839,42,3,Urban,Finance,0.48,0.83,0.55,0.28,0.74,0.45,0.07,Physical Touch,0.4,44,2,Urban,Tech,0.32,0.64,0.29,0.27,0.7,0.72,0.77,Quality Time,0.51,63.9,0,77
32840,33,3,Urban,Finance,0.51,0.93,0.39,0.91,0.59,0.27,0.35,Receiving Gifts,0.17,38,5,Suburban,Entrepreneurship,0.78,0.43,0.91,0.8,0.78,0.16,0.62,Acts of Service,0.1,70.4,1,48
32841,34,3,Urban,Science,0.43,0.36,0.45,0.2,0.28,0.23,0.63,Receiving Gifts,0.3,32,4,Urban,Engineering,0.64,0.43,0.29,0.31,0.83,0.67,0.67,Quality Time,0.8,65.5,1,59
32842,45,4,Suburban,Entrepreneurship,0.31,0.4,0.15,0.39,0.53,0.29,0.98,Acts of Service,0.49,37,5,Suburban,Law,0.73,0.53,0.8,0.64,0.06,0.13,0.27,Physical Touch,0.11,57.0,0,73
32843,22,1,Urban,Creative Arts,0.47,0.67,0.84,0.49,0.87,0.33,0.77,Words of Affirmation,0.79,36,2,Suburban,Entrepreneurship,0.34,0.6,0.46,0.67,0.48,0.33,0.34,Receiving Gifts,0.23,54.0,0,85
32844,18,2,Suburban,Engineering,0.18,0.33,0.77,0.1,0.15,0.81,0.61,Receiving Gifts,0.43,19,4,Urban,Tech,0.46,0.09,0.53,0.43,0.64,0.6,0.19,Acts of Service,0.43,59.5,0,47
32845,20,2,Suburban,Engineering,0.26,0.48,0.58,0.63,0.32,0.17,0.39,Receiving Gifts,0.51,33,2,Suburban,Entrepreneurship,0.41,0.57,0.41,0.76,0.51,0.43,0.14,Words of Affirmation,0.39,62.7,0,85
32846,41,3,Urban,Tech,0.5,0.74,0.57,0.5,0.31,0.74,0.69,Physical Touch,0.3,54,3,Suburban,Entrepreneurship,0.79,0.42,0.52,0.55,0.71,0.31,0.35,Words of Affirmation,0.82,45.0,0,41
32847,46,5,Urban,Healthcare,0.69,0.6,0.89,0.62,0.25,0.35,0.54,Receiving Gifts,0.58,22,3,Urban,Tech,0.51,0.43,0.75,0.62,0.44,0.88,0.28,Physical Touch,0.35,50.6,0,50
32848,32,4,Suburban,Finance,0.86,0.84,0.1,0.46,0.51,0.45,0.79,Words of Affirmation,0.25,36,3,Rural,Education,0.34,0.85,0.71,0.3,0.39,0.36,0.91,Physical Touch,0.35,57.3,0,33
32849,21,4,Urban,Law,0.55,0.23,0.43,0.37,0.37,0.85,0.54,Physical Touch,0.15,31,3,Urban,Creative Arts,0.42,0.61,0.78,0.35,0.28,0.82,0.5,Receiving Gifts,0.72,46.6,0,26
32850,18,2,Rural,Engineering,0.42,0.29,0.28,0.36,0.13,0.56,0.53,Receiving Gifts,0.57,34,4,Urban,Marketing,0.75,0.4,0.23,0.85,0.5,0.72,0.45,Physical Touch,0.38,63.5,0,67
32851,32,2,Urban,Healthcare,0.56,0.45,0.33,0.42,0.52,0.57,0.44,Words of Affirmation,0.9,37,4,Suburban,Tech,0.68,0.39,0.61,0.27,0.64,0.58,0.31,Acts of Service,0.44,73.2,1,78
32852,41,3,Urban,Healthcare,0.37,0.34,0.08,0.23,0.18,0.75,0.72,Words of Affirmation,0.69,47,4,Urban,Marketing,0.38,0.38,0.58,0.37,0.2,0.46,0.51,Receiving Gifts,0.15,70.5,1,51
32853,48,4,Urban,Tech,0.78,0.31,0.37,0.68,0.66,0.92,0.05,Quality Time,0.57,28,4,Suburban,Tech,0.49,0.42,0.34,0.74,0.95,0.61,0.64,Quality Time,0.47,85.2,1,103
32854,37,5,Urban,Entrepreneurship,0.83,0.4,0.44,0.22,0.19,0.64,0.26,Physical Touch,0.56,31,2,Suburban,Healthcare,0.37,0.39,0.6,0.61,0.26,0.67,0.48,Quality Time,0.36,62.1,0,68
32855,27,3,Suburban,Entrepreneurship,0.36,0.92,0.23,0.26,0.32,0.42,0.82,Words of Affirmation,0.3,34,3,Rural,Education,0.39,0.83,0.86,0.74,0.49,0.26,0.31,Acts of Service,0.37,62.9,0,95
32856,28,3,Urban,Tech,0.4,0.75,0.34,0.28,0.32,0.35,0.92,Receiving Gifts,0.45,51,3,Urban,Healthcare,0.66,0.73,0.7,0.4,0.43,0.64,0.81,Receiving Gifts,0.93,72.9,1,89
32857,35,4,Urban,Healthcare,0.67,0.29,0.69,0.94,0.41,0.26,0.77,Quality Time,0.6,23,3,Urban,Science,0.67,0.9,0.2,0.57,0.34,0.47,0.34,Acts of Service,0.34,63.5,0,68
32858,51,5,Suburban,Engineering,0.85,0.54,0.42,0.51,0.81,0.74,0.33,Words of Affirmation,0.69,23,2,Urban,Creative Arts,0.32,0.62,0.58,0.3,0.18,0.64,0.6,Words of Affirmation,0.28,53.8,0,120
32859,45,4,Urban,Science,0.9,0.31,0.79,0.7,0.64,0.1,0.13,Words of Affirmation,0.66,46,2,Urban,Tech,0.72,0.28,0.75,0.2,0.48,0.69,0.56,Quality Time,0.81,66.3,1,80
32860,55,3,Rural,Finance,0.68,0.33,0.57,0.62,0.81,0.64,0.61,Acts of Service,0.8,46,4,Urban,Creative Arts,0.57,0.25,0.88,0.86,0.86,0.41,0.35,Words of Affirmation,0.88,76.9,1,87
32861,33,4,Urban,Creative Arts,0.39,0.76,0.68,0.41,0.4,0.25,0.37,Physical Touch,0.69,53,2,Rural,Science,0.42,0.85,0.67,0.73,0.81,0.29,0.44,Words of Affirmation,0.5,54.8,0,53
32862,41,3,Suburban,Healthcare,0.43,0.7,0.78,0.62,0.78,0.81,0.57,Physical Touch,0.72,47,2,Urban,Education,0.66,0.69,0.56,0.86,0.45,0.67,0.05,Acts of Service,0.16,52.8,0,70
32863,29,5,Urban,Law,0.61,0.72,0.57,0.33,0.39,0.86,0.08,Words of Affirmation,0.41,48,5,Urban,Tech,0.44,0.38,0.44,0.38,0.46,0.4,0.78,Physical Touch,0.62,48.9,0,44
32864,24,3,Suburban,Marketing,0.53,0.31,0.61,0.57,0.6,0.55,0.37,Physical Touch,0.37,34,5,Urban,Law,0.81,0.5,0.37,0.18,0.51,0.29,0.7,Quality Time,0.6,68.6,1,69
32865,53,1,Urban,Education,0.43,0.08,0.5,0.55,0.34,0.92,0.92,Acts of Service,0.15,54,2,Urban,Science,0.69,0.27,0.12,0.67,0.18,0.56,0.71,Physical Touch,0.6,55.7,0,54
32866,34,4,Urban,Law,0.53,0.11,0.65,0.46,0.78,0.4,0.25,Receiving Gifts,0.26,28,2,Suburban,Education,0.48,0.69,0.15,0.64,0.46,0.26,0.48,Receiving Gifts,0.55,69.1,1,59
32867,21,2,Suburban,Law,0.55,0.38,0.6,0.6,0.55,0.55,0.29,Words of Affirmation,0.8,43,3,Urban,Entrepreneurship,0.36,0.63,0.86,0.72,0.33,0.71,0.65,Receiving Gifts,0.65,53.5,0,10
32868,54,4,Rural,Tech,0.48,0.13,0.3,0.58,0.39,0.33,0.88,Acts of Service,0.47,44,3,Suburban,Education,0.56,0.42,0.89,0.61,0.25,0.08,0.72,Words of Affirmation,0.57,71.9,1,68
32869,50,1,Suburban,Tech,0.51,0.23,0.48,0.04,0.33,0.6,0.7,Words of Affirmation,0.58,39,4,Urban,Law,0.78,0.21,0.12,0.76,0.64,0.69,0.43,Acts of Service,0.52,54.8,0,52
32870,36,5,Urban,Tech,0.67,0.46,0.84,0.13,0.23,0.39,0.22,Words of Affirmation,0.46,28,2,Suburban,Law,0.48,0.7,0.48,0.9,0.26,0.88,0.74,Physical Touch,0.71,52.7,0,65
32871,43,4,Urban,Engineering,0.45,0.41,0.48,0.33,0.29,0.81,0.57,Physical Touch,0.71,22,3,Urban,Finance,0.54,0.79,0.84,0.84,0.76,0.16,0.26,Acts of Service,0.39,55.5,0,59
32872,28,3,Urban,Entrepreneurship,0.44,0.08,0.84,0.06,0.02,0.28,0.63,Quality Time,0.19,41,4,Suburban,Science,0.88,0.25,0.27,0.63,0.74,0.69,0.59,Acts of Service,0.67,39.3,0,38
32873,48,3,Rural,Law,0.7,0.5,0.24,0.84,0.64,0.4,0.39,Physical Touch,0.69,34,2,Urban,Science,0.43,0.32,0.78,0.52,0.86,0.17,0.29,Physical Touch,0.33,73.2,1,57
32874,18,2,Rural,Marketing,0.66,0.16,0.23,0.11,0.2,0.33,0.48,Words of Affirmation,0.7,45,4,Urban,Creative Arts,0.77,0.21,0.47,0.86,0.51,0.25,0.42,Quality Time,0.7,80.8,1,45
32875,53,2,Urban,Finance,0.35,0.5,0.36,0.38,0.21,0.48,0.82,Quality Time,0.59,53,3,Suburban,Entrepreneurship,0.6,0.21,0.44,0.23,0.43,0.33,0.82,Words of Affirmation,0.59,76.3,1,90
32876,46,1,Urban,Education,0.32,0.76,0.67,0.11,0.27,0.31,0.26,Physical Touch,1.0,30,2,Rural,Finance,0.17,0.28,0.66,0.71,0.43,0.64,0.58,Physical Touch,0.93,66.4,1,75
32877,42,4,Suburban,Finance,0.62,0.22,0.58,0.29,0.86,0.58,0.59,Quality Time,0.5,48,2,Urban,Law,0.41,0.3,0.37,0.81,0.23,0.54,0.73,Receiving Gifts,0.68,59.9,0,110
32878,35,4,Urban,Law,0.72,0.34,0.9,0.59,0.51,0.58,0.29,Acts of Service,0.84,41,3,Rural,Healthcare,0.63,0.67,0.51,0.45,0.7,0.81,0.34,Quality Time,0.6,47.9,0,23
32879,20,4,Suburban,Science,0.5,0.91,0.63,0.1,0.85,0.66,0.64,Words of Affirmation,0.89,52,2,Suburban,Engineering,0.45,0.72,0.15,0.69,0.8,0.73,0.63,Acts of Service,0.25,56.7,0,94
32880,35,3,Urban,Healthcare,0.21,0.66,0.53,0.09,0.57,0.62,0.23,Words of Affirmation,0.66,24,3,Urban,Healthcare,0.44,0.53,0.23,0.23,0.66,0.85,0.3,Quality Time,0.02,68.7,1,58
32881,24,3,Urban,Entrepreneurship,0.41,0.27,0.66,0.97,0.44,0.88,0.44,Quality Time,0.82,55,2,Suburban,Tech,0.65,0.62,0.36,0.22,0.37,0.11,0.83,Words of Affirmation,0.93,63.2,0,79
32882,45,5,Suburban,Finance,0.81,0.54,0.71,0.67,0.25,0.27,0.48,Physical Touch,0.4,29,2,Urban,Entrepreneurship,0.33,0.41,0.62,0.24,0.67,0.67,0.68,Quality Time,0.69,63.8,0,32
32883,34,3,Suburban,Law,0.38,0.68,0.8,0.57,0.44,0.61,0.68,Quality Time,0.48,22,3,Urban,Tech,0.4,0.5,0.9,0.73,0.06,0.87,0.54,Acts of Service,0.48,64.1,0,70
32884,42,1,Urban,Healthcare,0.14,0.21,0.75,0.8,0.3,0.83,0.15,Words of Affirmation,0.85,36,2,Urban,Science,0.53,0.51,0.57,0.4,0.89,0.75,0.5,Acts of Service,0.83,66.4,1,88
32885,35,4,Urban,Law,0.38,0.49,0.3,0.22,0.22,0.53,0.79,Receiving Gifts,0.81,35,1,Urban,Finance,0.35,0.83,0.76,0.63,0.34,0.69,0.38,Quality Time,0.7,51.1,0,45
32886,20,4,Suburban,Tech,0.47,0.69,0.38,0.69,0.14,0.49,0.52,Receiving Gifts,0.2,55,3,Urban,Education,0.39,0.85,0.45,0.55,0.25,0.06,0.23,Words of Affirmation,0.52,63.5,0,60
32887,42,4,Suburban,Engineering,0.66,0.27,0.13,0.52,0.61,0.21,0.41,Receiving Gifts,0.68,53,2,Rural,Law,0.39,0.44,0.34,0.32,0.49,0.09,0.66,Quality Time,0.1,63.3,0,43
32888,24,5,Suburban,Tech,0.61,0.52,0.63,0.21,0.23,0.52,0.4,Receiving Gifts,0.48,51,3,Rural,Engineering,0.67,0.68,0.21,0.38,0.47,0.46,0.51,Physical Touch,0.25,62.5,0,97
32889,27,3,Suburban,Healthcare,0.53,0.89,0.57,0.77,0.59,0.07,0.45,Acts of Service,0.39,53,3,Suburban,Engineering,0.45,0.65,0.52,0.25,0.58,0.79,0.57,Physical Touch,0.71,68.7,1,101
32890,36,4,Urban,Law,0.21,0.68,0.19,0.91,0.5,0.77,0.25,Quality Time,0.5,36,5,Suburban,Creative Arts,0.92,0.75,0.46,0.69,0.9,0.98,0.85,Physical Touch,0.66,48.2,0,71
32891,32,5,Urban,Science,0.98,0.08,0.75,0.16,0.22,0.2,0.35,Acts of Service,0.5,29,5,Urban,Engineering,0.84,0.46,0.68,0.83,0.28,0.43,0.61,Receiving Gifts,0.79,60.2,0,76
32892,38,4,Suburban,Education,0.48,0.82,0.33,0.18,0.36,0.44,0.46,Physical Touch,0.62,25,4,Suburban,Law,0.63,0.25,0.16,0.43,0.51,0.16,0.57,Receiving Gifts,0.64,50.1,0,58
32893,38,4,Suburban,Law,0.69,0.4,0.8,0.48,0.68,0.69,0.58,Quality Time,0.73,40,3,Suburban,Healthcare,0.33,0.4,0.64,0.44,0.14,0.45,0.84,Receiving Gifts,0.56,69.1,1,65
32894,54,3,Suburban,Healthcare,0.39,0.55,0.24,0.8,0.48,0.74,0.29,Quality Time,0.85,52,5,Urban,Healthcare,0.71,0.53,0.44,0.44,0.07,0.63,0.81,Quality Time,0.74,78.2,1,77
32895,45,2,Suburban,Creative Arts,0.44,0.43,0.37,0.8,0.6,0.53,0.2,Quality Time,0.15,55,2,Urban,Law,0.3,0.87,0.42,0.66,0.16,0.9,0.36,Receiving Gifts,0.7,48.2,0,19
32896,49,4,Urban,Education,0.71,0.16,0.36,0.35,0.3,0.43,0.33,Acts of Service,0.48,54,2,Suburban,Creative Arts,0.34,0.15,0.58,0.46,0.16,0.26,0.5,Physical Touch,0.47,65.6,1,60
32897,44,2,Suburban,Science,0.4,0.42,0.27,0.5,0.22,0.83,0.87,Quality Time,0.64,51,1,Urban,Entrepreneurship,0.34,0.41,0.6,0.68,0.56,0.27,0.49,Receiving Gifts,0.78,61.1,0,52
32898,40,1,Urban,Marketing,0.46,0.4,0.44,0.22,0.37,0.61,0.92,Acts of Service,0.33,20,1,Urban,Marketing,0.26,0.53,0.21,0.47,0.75,0.72,0.52,Physical Touch,0.47,63.2,0,67
32899,27,3,Urban,Law,0.46,0.37,0.29,0.55,0.47,0.71,0.74,Words of Affirmation,0.32,51,4,Urban,Law,0.62,0.75,0.54,0.73,0.76,0.37,0.77,Quality Time,0.38,70.2,1,98
32900,23,2,Urban,Engineering,0.72,0.58,0.51,0.87,0.74,0.33,0.3,Quality Time,0.15,23,1,Urban,Entrepreneurship,0.58,0.51,0.66,0.37,0.56,0.35,0.12,Quality Time,0.72,68.2,1,52
32901,41,4,Suburban,Entrepreneurship,0.56,0.88,0.16,0.15,0.13,0.12,0.58,Physical Touch,0.53,38,5,Urban,Marketing,0.82,0.34,0.21,0.76,0.37,0.67,0.63,Quality Time,0.51,54.2,0,59
32902,35,5,Suburban,Law,0.51,0.16,0.69,0.43,0.5,0.51,0.12,Words of Affirmation,0.4,43,3,Urban,Finance,0.37,0.43,0.84,0.47,0.52,0.45,0.65,Words of Affirmation,0.46,86.0,1,96
32903,27,2,Rural,Tech,0.25,0.93,0.52,0.04,0.61,0.55,0.19,Physical Touch,0.51,46,2,Rural,Education,0.46,0.69,0.91,0.66,0.69,0.89,0.59,Words of Affirmation,0.56,68.6,1,87
32904,32,2,Suburban,Creative Arts,0.22,0.23,0.72,0.22,0.91,0.29,0.43,Quality Time,0.48,30,3,Urban,Creative Arts,0.55,0.93,0.13,0.28,0.53,0.41,0.23,Receiving Gifts,0.43,73.8,1,82
32905,51,3,Suburban,Education,0.55,0.57,0.49,0.7,0.23,0.32,0.41,Receiving Gifts,0.32,20,3,Suburban,Law,0.3,0.39,0.92,0.78,0.74,0.56,0.63,Receiving Gifts,0.37,71.8,1,61
32906,25,3,Suburban,Education,0.31,0.65,0.41,0.56,0.13,0.12,0.83,Acts of Service,0.55,22,2,Suburban,Engineering,0.16,0.74,0.38,0.65,0.48,0.07,0.6,Words of Affirmation,0.61,75.1,1,89
32907,52,5,Urban,Education,0.78,0.31,0.62,0.56,0.39,0.4,0.27,Physical Touch,0.3,19,2,Urban,Healthcare,0.47,0.49,0.52,0.21,0.14,0.4,0.58,Physical Touch,0.4,67.2,1,58
32908,44,3,Suburban,Marketing,0.19,0.5,0.31,0.8,0.26,0.29,0.95,Quality Time,0.55,18,3,Suburban,Marketing,0.54,0.64,0.26,0.63,0.12,0.91,0.38,Acts of Service,0.12,61.3,0,59
32909,42,2,Urban,Tech,0.35,0.64,0.89,0.39,0.3,0.1,0.31,Quality Time,0.22,41,4,Rural,Tech,0.67,0.2,0.87,0.79,0.41,0.77,0.45,Quality Time,0.46,78.2,1,96
32910,20,4,Suburban,Science,0.42,0.87,0.69,0.89,0.82,0.84,0.05,Acts of Service,0.87,26,3,Rural,Tech,0.34,0.48,0.28,0.22,0.26,0.28,0.47,Receiving Gifts,0.46,67.1,1,60
32911,38,4,Suburban,Entrepreneurship,0.7,0.5,0.53,0.86,0.55,0.79,0.39,Receiving Gifts,0.7,40,2,Urban,Healthcare,0.3,0.79,0.31,0.61,0.33,0.24,0.44,Physical Touch,0.45,61.4,0,59
32912,49,3,Suburban,Science,0.44,0.5,0.06,0.33,0.31,0.04,0.69,Quality Time,0.46,49,5,Urban,Creative Arts,0.5,0.63,0.58,0.62,0.68,0.41,0.75,Physical Touch,0.68,60.5,0,51
32913,38,4,Rural,Finance,0.76,0.8,0.75,0.47,0.88,0.71,0.31,Words of Affirmation,0.5,36,2,Urban,Finance,0.45,0.08,0.4,0.24,0.95,0.14,0.47,Receiving Gifts,0.29,54.4,0,80
32914,26,1,Urban,Healthcare,0.25,0.39,0.86,0.57,0.57,0.5,0.75,Words of Affirmation,0.52,32,3,Suburban,Science,0.46,0.41,0.36,0.92,0.03,0.63,0.94,Quality Time,0.61,66.2,1,56
32915,18,3,Rural,Creative Arts,0.44,0.68,0.39,0.76,0.31,0.23,0.69,Receiving Gifts,0.48,33,5,Urban,Engineering,0.73,0.64,0.1,0.51,0.82,0.21,0.44,Acts of Service,0.37,66.4,1,69
32916,21,4,Suburban,Finance,0.58,0.39,0.19,0.36,0.59,0.48,0.28,Quality Time,0.28,46,5,Suburban,Entrepreneurship,0.8,0.45,0.72,0.4,0.66,0.58,0.19,Quality Time,0.49,68.8,1,72
32917,21,1,Urban,Engineering,0.34,0.34,0.6,0.65,0.56,0.42,0.56,Physical Touch,0.26,37,1,Urban,Finance,0.33,0.15,0.47,0.31,0.11,0.43,0.4,Words of Affirmation,0.9,62.2,0,33
32918,43,3,Rural,Education,0.32,0.55,0.52,0.7,0.32,0.24,0.9,Acts of Service,0.38,42,2,Urban,Entrepreneurship,0.24,0.55,0.16,0.11,0.45,0.24,0.49,Quality Time,0.08,56.2,0,100
32919,51,2,Suburban,Engineering,0.43,0.56,0.58,0.42,0.72,0.52,0.4,Acts of Service,0.88,24,5,Rural,Creative Arts,0.53,0.93,0.48,0.14,0.44,0.46,0.52,Words of Affirmation,0.48,57.1,0,37
32920,44,3,Urban,Science,0.35,0.53,0.6,0.43,0.84,0.43,0.14,Receiving Gifts,0.42,34,3,Urban,Law,0.41,0.52,0.5,0.39,0.75,0.72,0.36,Receiving Gifts,0.63,93.2,1,120
32921,32,1,Urban,Entrepreneurship,0.23,0.5,0.67,0.39,0.12,0.38,0.85,Words of Affirmation,0.25,40,4,Suburban,Education,0.43,0.9,0.98,0.77,0.27,0.18,0.75,Physical Touch,0.21,63.2,0,84
32922,49,3,Urban,Healthcare,0.82,0.34,0.25,0.28,0.35,0.69,0.61,Words of Affirmation,0.9,39,4,Suburban,Finance,0.61,0.68,0.43,0.24,0.82,0.53,0.39,Words of Affirmation,0.44,68.7,1,77
