Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Effect: Impact to flight,Effect: Other,Location: Nearby if en route,Aircraft: Flight Number,FlightDate,Record ID,Effect: Indicated Damage,Location: Freeform en route,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Reported: Date,Wildlife: Size,Conditions: Sky,Wildlife: Species,When: Time (HHMM),When: Time of day,Pilot warned of birds or wildlife?,Cost: Aircraft time out of service (hours),Cost: Other (inflation adj),Cost: Repair (inflation adj),Cost: Total $,Miles from airport,Feet above ground,Number of human fatalities,Number of people injured,Speed (IAS) in knots
Airplane,SACRAMENTO INTL,< 1000 ft,B-737-700,2 to 10,None,,,,3/13/00 0:00,207302,No damage,,2,SOUTHWEST AIRLINES,California,Approach,None,FALSE,FALSE,FLT 933 REPTD STRIKE ON FINAL.,,,No Cloud,Blackbirds,,Dawn,N,,0,0,0,,10,,,134
Airplane,UNKNOWN,Unknown,DC-10,1,,,,,3/13/00 0:00,207434,No damage,,3,AMERICAN AIRLINES,N/A,,,FALSE,FALSE,BIRD INGESTED. NO FAN BLADE DMG,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,NAPLES MUNICIPAL,Unknown,C-310,1,Other,REDUCED ENG POWER,,,3/13/00 0:00,200940,Caused damage,,2,BUSINESS,Florida,Descent,None,FALSE,FALSE,"NO ENG DMG, COWLING & COWL FLAPS FLEW OFF. PILOT REDUCED POWER ON  #1 ENG, HAD ALERT CREW STAND BY AS A PRECAUTION. LANDED W/O  INCIDENT. BIRD REPTD AS CRANE, ASSUME SANDHILL FROM LOCATION.",,,Some Cloud,Sandhill crane,,Day,N,,0,0,0,,,,,
Airplane,WESTCHESTER COUNTY ARPT,< 1000 ft,EMB-135,2 to 10,None,,,,3/13/00 0:00,201387,No damage,,2,CONTINENTAL AIRLINES,New York,Climb,None,FALSE,FALSE,2 BIRD HIT. CONTD TO KCLE. UNKN WHAT PART WAS STRUCK.,3/13/00 0:00,Medium,No Cloud,Ring-billed gull,720,Day,Y,,0,0,0,,10,,,
Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,> 1000 ft,DC-9-40,2 to 10,None,,,,3/13/00 0:00,200542,No damage,22 MI SW BHM,2,ABX AIR,Alabama,Descent,None,FALSE,FALSE,HIT BIRDS BETWEEN 4000-6000 FT DURING DESCENT. FOUND 3 DIFFERENT  BLOOD STAINS ON RT WING AND FEATHERS ON #2 ENG INTAKE AND ON  STARTER.INSPN FOUND NO DMG.  (REPORTS DIFFER AS TO DATE OF STRIKE  3/13 OR 3/14),3/13/00 0:00,Small,No Cloud,Unknown bird - small,,Night,N,,0,0,0,22,"5,000",,,240
,UNKNOWN,Unknown,UNKNOWN,1,,,,,3/13/00 0:00,203486,No damage,,,UNKNOWN,N/A,,,TRUE,FALSE,PILOT REPTD DEAD BIRD ON RWY (CHICKEN HAWK) BUT HE DID NOT HIT  IT.,3/13/00 0:00,,,Hawks,,,,,0,0,0,0,,,,
,ATLANTIC CITY INTL,Unknown,UNKNOWN,1,,,,,3/13/00 0:00,201791,No damage,,,UNKNOWN,New Jersey,,,TRUE,FALSE,CARCASS FOUND DURING AIR NATIONAL GUARD INSPN.,3/13/00 0:00,Small,,American kestrel,,,,,0,0,0,0,,,,
,WASHINGTON DULLES INTL ARPT,Unknown,UNKNOWN,1,,,,,3/13/00 0:00,202219,No damage,,,UNKNOWN,DC,,,TRUE,FALSE,"DURING DAY, FOUND CARCASS RWY 12, 8000' REMAINING IN GRASS APPROX  30 YDS S OF RWY. POSSIBLE DUPLICATE OF AIRLINE STRIKE ON ROTATION.",3/17/00 0:00,Large,,Canada goose,,,,,0,0,0,0,,,,
Airplane,LAGUARDIA NY,> 1000 ft,MD-80,1,None,,,,3/14/00 0:00,200524,No damage,,2,US AIRWAYS*,New York,Approach,None,FALSE,FALSE,FLT 798 PIT-LGA,,Medium,Overcast,Unknown bird - medium,,Night,N,,0,0,0,,"4,000",,,250
Airplane,NEWARK LIBERTY INTL ARPT,> 1000 ft,DC-9-30,1,,,,,3/14/00 0:00,201637,No damage,,2,NORTHWEST AIRLINES,New Jersey,Approach,,FALSE,FALSE,FLT 794,,Medium,,Unknown bird - medium,,,,,0,0,0,,"3,000",,,
Airplane,UNKNOWN,Unknown,B-737-500,1,,,,,3/14/00 0:00,204094,No damage,ORD-PHL,2,UNITED AIRLINES,N/A,,,FALSE,FALSE,BIRDSTRIKE ON LWR FUSELAGE. INSPCTD.,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,UNKNOWN,Unknown,B-757-200,1,,,,,3/14/00 0:00,205485,No damage,LAX-IAD,2,UNITED AIRLINES,N/A,,,FALSE,FALSE,FOUND EVIDENCE OF BIRDSTRIKE ON WALK-AROUND. BORESCOPED 6TH  STAGE OF ENG.,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,BOWMAN FIELD,< 1000 ft,BE-58  BARON,1,None,,,,3/14/00 0:00,200496,No damage,,2,BUSINESS,Kentucky,Climb,None,FALSE,FALSE,,3/14/00 0:00,,No Cloud,Ducks,,Day,N,,0,0,0,,20,,,
Airplane,LAGUARDIA NY,< 1000 ft,A-320,1,None,,,,3/14/00 0:00,200863,No damage,,2,US AIRWAYS*,New York,Approach,None,FALSE,FALSE,,3/14/00 0:00,,Some Cloud,Gulls,,Night,N,,0,0,0,,400,,,130
Airplane,ATLANTA INTL,< 1000 ft,DC-9-30,2 to 10,None,,,,3/14/00 0:00,202076,No damage,,2,AIRTRAN AIRWAYS,Georgia,Approach,None,FALSE,FALSE,"BIRDS HIT BOTH MAIN GEAR, L WING & LWR FUSELAGE. DEBRIS FROM L  WING ENTERED #1 ENG BUT NO ABNORMAL INDICATIONS NOTED.",3/14/00 0:00,Medium,No Cloud,Mallard,,Night,N,,0,0,0,,"1,000",,,140
Airplane,MIAMI INTL,< 1000 ft,CL-RJ100/200,1,None,,,,3/14/00 0:00,200415,No damage,,2,COMAIR AIRLINES,Florida,Approach,None,FALSE,FALSE,FLT 1166.,3/14/00 0:00,,Overcast,Gulls,1307,Day,Y,,0,0,0,,9,,,120
Airplane,NEWARK LIBERTY INTL ARPT,> 1000 ft,A-300,1,None,,,,3/14/00 0:00,202789,No damage,,2,AMERICAN AIRLINES,New Jersey,Approach,None,FALSE,FALSE,FLT 1270,3/14/00 0:00,Medium,No Cloud,Unknown bird - medium,,Night,N,,0,0,0,,"5,000",,,250
Airplane,LAGUARDIA NY,> 1000 ft,FOKKER F28 MK 1000,1,None,,,,3/14/00 0:00,201324,No damage,,2,CANADIAN REGIONAL AIRLINES,New York,Approach,None,FALSE,FALSE,,3/15/00 0:00,Medium,Some Cloud,Unknown bird - medium,,Night,N,,0,0,0,,"2,000",,,160
Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-82,1,None,,,,3/14/00 0:00,201275,No damage,,2,AMERICAN AIRLINES,Texas,Landing Roll,None,FALSE,FALSE,FLT 2452 INBND FROM LAX,3/16/00 0:00,,No Cloud,Owls,1940,Night,N,,0,0,0,0,0,,,80
Airplane,FORT WAYNE INTL,< 1000 ft,DORNIER 328,1,None,,,450,3/15/00 0:00,203957,No damage,,2,AIR WISCONSIN AIRLINES,Indiana,Taxi,Fog,FALSE,FALSE,"BIRDS REPTD AS GEESE, ASSUME CAGO FROM DATE AND LOCATION.",,Large,Overcast,Canada goose,401,Night,N,,0,0,0,0,0,,,
Airplane,KAHULUI ARPT,< 1000 ft,DC-9-50,1,None,,,,3/15/00 0:00,200525,No damage,,2,HAWAIIAN AIR,Hawaii,Approach,None,FALSE,FALSE,DOWN & BLOOD STREAKS ON SIDE OF NOSE.,,Small,No Cloud,Upland sandpiper,,Day,N,,0,0,0,,100,,,135
Airplane,DALLAS LOVE FIELD ARPT,< 1000 ft,B-737-300,2 to 10,,,,,3/15/00 0:00,200003,No damage,,2,SOUTHWEST AIRLINES,Texas,Approach,None,FALSE,FALSE,"HIT A FLOCK, ASSUME 2-10. NO DMG.",,Small,No Cloud,Unknown bird - small,,,N,,0,0,0,,300,,,140
,CHICAGO MIDWAY INTL ARPT,Unknown,UNKNOWN,1,,,,,3/15/00 0:00,208351,No damage,,,UNKNOWN,Illinois,,,TRUE,FALSE,"FOUND AT 1230, FRESH. 22R @ 31L",,Small,,American kestrel,,,,,0,0,0,0,,,,
Airplane,AIRBORNE AIRPARK,Unknown,DC-9-40,1,None,,,,3/15/00 0:00,202108,Caused damage,,2,ABX AIR,Ohio,Climb,,FALSE,FALSE,"ALL ENG INDICATIONS NORMAL, BUT SMELLED BURNING FEATHERS DUIRNG CLIMBOUT. FOUND 2 FAN BLADES DAMAGED. REPAIRED WITHIN LIMITS.",,Medium,,Unknown bird - medium,,Night,,,0,0,0,,,,,
Airplane,PENSACOLA REGIONAL,< 1000 ft,EMB-120,2 to 10,None,,,,3/15/00 0:00,200608,No damage,,2,COMAIR AIRLINES,Florida,Approach,None,FALSE,FALSE,,3/15/00 0:00,,Overcast,Sparrows,845,Day,N,,0,0,0,,200,,,120
Airplane,CHARLES B WHEELER DOWNTOWN ARPT,< 1000 ft,BE-400 BJET,1,Precautionary Landing,,,,3/15/00 0:00,204837,No damage,,2,BUSINESS,Missouri,Climb,None,FALSE,FALSE,BLOOD ON A/C.,3/15/00 0:00,,Some Cloud,Swallows,720,Day,N,,0,0,0,,300,,,150
,BURKE LAKEFRONT,< 1000 ft,UNKNOWN,1,None,,,,3/15/00 0:00,201568,No damage,,,UNKNOWN,Ohio,Landing Roll,None,FALSE,FALSE,,3/15/00 0:00,Medium,Overcast,Ring-billed gull,702,Dawn,Y,,0,0,0,0,0,,,
Airplane,BURKE LAKEFRONT,< 1000 ft,MU2,1,None,,,,3/15/00 0:00,200413,No damage,,2,BUSINESS,Ohio,Landing Roll,None,FALSE,FALSE,,3/15/00 0:00,,Overcast,Gulls,703,Day,Y,,0,0,0,0,0,,,
Airplane,NEW ORLEANS INTL,< 1000 ft,CL-RJ100/200,1,None,,,,3/15/00 0:00,201511,No damage,,2,MIDWAY AIRLINES,Louisiana,Take-off run,Rain,FALSE,FALSE,FLT 25. ATIS WARNING.,3/15/00 0:00,,Overcast,Blackbirds,1719,Dusk,Y,,0,0,0,0,0,,,
Airplane,DALLAS/FORT WORTH INTL ARPT,> 1000 ft,FOKKER F100,1,None,,,,3/15/00 0:00,202784,No damage,,2,AMERICAN AIRLINES,Texas,Descent,None,FALSE,FALSE,MARK ON NOSE.,3/15/00 0:00,Medium,Overcast,Unknown bird - medium,2205,Night,,,0,0,0,,"5,000",,,210
Airplane,WILL ROGERS WORLD ARPT,> 1000 ft,MD-80,1,None,,,,3/15/00 0:00,202783,Caused damage,,2,AMERICAN AIRLINES,Oklahoma,Approach,None,FALSE,FALSE,BIRD PENETRATED RADOME AND DAMAGED FLAT DISH ANTENNA,3/15/00 0:00,,Some Cloud,Gulls,,Day,N,10,0,"52,118","52,118",,"2,500",,,180
Airplane,LAGUARDIA NY,> 1000 ft,B-727-200,2 to 10,None,,,,3/15/00 0:00,204836,Caused damage,,3,DELTA AIR LINES,New York,Approach,None,FALSE,FALSE,"SAW FLASH IN LIGHTS ON RT SIDE, FOLLOWED BY LOUD THUMP. ALL A/C INDICATIONS NORMAL. DAMAGE FOUND ON POST FLT INSPN. TO RT OTBD LIGHTS, WING, FUSELAGE AND ANTENNA.",3/15/00 0:00,Medium,No Cloud,Unknown bird - medium,,Night,N,,0,0,0,,"1,300",,,150
Airplane,TAHITI FAAA,< 1000 ft,DC-10-30,2 to 10,None,,,,3/15/00 0:00,203390,Caused damage,,3,HAWAIIAN AIR,N/A,Landing Roll,None,FALSE,FALSE,SEABIRD HIT F/O WINDSHLD AS NOSE CONTACTED RWY. ALSO F/O WIP. UNSEEN BIRDS STRUCK & DESTROYED UPPER ROTATING BEACON. #2 ENG ALSO INGESTED FOD CAUSING BLADE DAMAGE.,3/16/00 0:00,Medium,Some Cloud,Unknown bird - medium,,,N,,0,0,0,0,0,,,150
Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-737-400,1,,,,,3/16/00 0:00,202269,No damage,,2,PRO AIR,New Jersey,Landing Roll,,FALSE,FALSE,NO CARCASS FOUND. HIT BIRD 1500' S OF RWY 22L THRESHOLD.,,,,Gulls,2055,Night,,,0,0,0,0,0,,,
Airplane,LOS ANGELES INTL,< 1000 ft,A-320,1,,,,,3/16/00 0:00,201778,No damage,,2,UNITED AIRLINES,California,Approach,,FALSE,FALSE,1 POSSIBLY 2 BIRDSTRIKE ON SHROT FINAL.  INSPCTD.,,Medium,,Unknown bird - medium,,,,,0,0,0,,200,,,
Airplane,CHICAGO O'HARE INTL ARPT,< 1000 ft,B-727-200,1,None,,,,3/16/00 0:00,200340,No damage,,3,UNITED AIRLINES,Illinois,Take-off run,None,FALSE,FALSE,BIRDSTRIKE UPPER RHS OF FUSELAGE. INSPCTD & CLEANED. CARCASS FOUND AT 1745. BIRD ID BY WS BIOL,,Medium,Some Cloud,Red-tailed hawk,,Dusk,,,0,0,0,0,0,,,
Airplane,SAN FRANCISCO INTL ARPT,Unknown,B-737-300,1,,,,,3/16/00 0:00,201949,No damage,,2,UNITED AIRLINES,California,Approach,,FALSE,FALSE,CLEANED OUT REMAINS FROM NOSE LDG GEAR WHEEL WELL.,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
,JOHN F KENNEDY INTL,Unknown,UNKNOWN,1,,,,,3/16/00 0:00,204010,No damage,,,UNKNOWN,New York,,,TRUE,FALSE,FOUND ON CENTERLINE @ PA-PB,,Small,,Northern flicker,,,,,0,0,0,0,,,,
Airplane,MCNARY FLD ARPT,< 1000 ft,PA-31T CHEYENNE,2 to 10,Precautionary Landing,,,,3/16/00 0:00,203130,Caused damage,,2,PRIVATELY OWNED,Oregon,Approach,,FALSE,FALSE,"AFTER LDG, PILOT REPTD SCARING UP SOME GEESE. FOUND 6 DEAD ON RWY. MINOR DMG TO FLAP. BIRDS REPTD AS GEESE, ASSUME CAGO FROM DATE AND LOCATION.",,Large,Some Cloud,Canada goose,,Dusk,Y,,0,0,0,,15,,,20
,PEASE INTL TRADEPORT,Unknown,UNKNOWN,1,,,,,3/16/00 0:00,201127,No damage,,,UNKNOWN,New Hampshire,,,TRUE,FALSE,FOUND ON W SIDE AT END FO RWY 34R AT 0625. BIRD ID BY WS BIOL,3/16/00 0:00,Small,,Snow bunting,,,Y,,0,0,0,0,,,,
,PORTLAND INTL (OR),Unknown,UNKNOWN,1,,,,,3/16/00 0:00,203628,No damage,,,UNKNOWN,Oregon,,,TRUE,FALSE,"FOUND INTACT AT 0738, DAWN. ON RWY.",5/2/00 0:00,Large,,Great blue heron,,,,,0,0,0,0,,,,
Airplane,VALLEY INTL,< 1000 ft,T-43A,1,None,,,,3/16/00 0:00,2674,No damage,,,MILITARY,Texas,Climb,None,FALSE,FALSE,"John Adnrichak, xxx-xxxx
john.andrichak@randolph.af.mil",5/26/00 8:50,Medium,No Clouds,Unknown bird - medium,2200,Night,,,0,21,21,,50,,,140
Airplane,BEMIDJI REGIONAL ARPT,< 1000 ft,SAAB-340,1,None,,,,3/17/00 0:00,203408,No damage,,2,MESABA AIRLINES,Minnesota,Take-off run,None,FALSE,FALSE,,,Small,No Cloud,Unknown bird - small,,Dawn,N,,0,0,0,0,0,,,120
Airplane,UNKNOWN,Unknown,DC-9-30,1,None,,,,3/17/00 0:00,205001,No damage,,2,ABX AIR,N/A,En Route,,FALSE,FALSE,INSPN FOUND NO DMG,,Medium,,Unknown bird - medium,,Night,,,0,0,0,,,,,
Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,B-737,1,,,,,3/17/00 0:00,203906,No damage,,2,DELTA AIR LINES,DC,Landing Roll,None,FALSE,FALSE,BIRD WAS FOUND ON APCH END 1000 FT MARKER,,Medium,Overcast,Ring-billed gull,,Day,,,0,0,0,0,0,,,
Airplane,UNKNOWN,Unknown,B-777-200,1,,,,,3/17/00 0:00,203083,No damage,ORD-DEN,2,UNITED AIRLINES,N/A,,,FALSE,FALSE,POSSIBLE BIRDSTRIKE ON RHS A/C. FOUND NO EVIDENCE.,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,LOGAN INTL,< 1000 ft,B-727-200,1,None,,,,3/17/00 0:00,203407,No damage,,3,DELTA AIR LINES,Massachusetts,Climb,Snow,FALSE,FALSE,"A/C IN CLOUDS, BIRDS NOT SEEN UNTIL IMPACT. NO DMG.",3/17/00 0:00,,Overcast,Gulls,,Day,N,,0,0,0,,500,,,160
,RONALD REAGAN WASHINGTON NATL,Unknown,UNKNOWN,1,,,,,3/17/00 0:00,202794,No damage,,,UNKNOWN,DC,,,TRUE,FALSE,FOUND ON TWY M OFF OF RWY 21/3,3/17/00 0:00,Small,,American kestrel,,,,,0,0,0,0,,,,
,SARASOTA-BRADENTON,Unknown,UNKNOWN,1,,,,,3/17/00 0:00,203063,No damage,,,UNKNOWN,Florida,,,TRUE,FALSE,"FOUND BIRD AT 0645, DAWN, DURING AM RWY INSPN. IT WAS BY TWY A3",3/17/00 0:00,Small,,Killdeer,,,,,0,0,0,0,,,,
Airplane,GREATER PITTSBURGH,< 1000 ft,B-757-200,2 to 10,Other,CANCELLED FLT,,,3/17/00 0:00,204405,Caused damage,,2,US AIRWAYS*,Pennsylvania,Approach,None,FALSE,FALSE,INGESTION. REPLACED DMGD FAN BLADES. CANCELLED FLT,3/17/00 0:00,,No Cloud,Gulls,2105,Night,N,8,0,"40,091","40,091",,300,,,130
,BLUE GRASS ARPT,< 1000 ft,UNKNOWN,1,None,,,,3/18/00 0:00,203064,No damage,,,TRANS STATES AIRLINES,Kentucky,Approach,None,FALSE,FALSE,,,Small,No Cloud,Unknown bird - small,2045,Night,N,,0,0,0,,500,,,
Airplane,UNKNOWN,Unknown,B-757-200,1,,,,,3/18/00 0:00,210872,No damage,OMA-DEN,2,UNITED AIRLINES,N/A,,,FALSE,FALSE,BIRDSTRIKE ON AIRFRAME. ENG OPS NORMAL. INSPCTD.,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
,JOHN F KENNEDY INTL,Unknown,UNKNOWN,1,,,,,3/18/00 0:00,203013,No damage,,,UNKNOWN,New York,,,TRUE,FALSE,FOUND 31L N @ N-MB,,Small,,Rock pigeon,,,,,0,0,0,0,,,,
Airplane,ORLANDO INTL,< 1000 ft,SAAB-340,2 to 10,Aborted Take-off,,,,3/18/00 0:00,203936,No damage,,2,AMERICAN EAGLE AIRLINES,Florida,Take-off run,None,FALSE,FALSE,"(BIRD REPTD AS GULL, ASSUME RING-BILLED BASED ON ARPT REPT)",3/18/00 0:00,Medium,Some Cloud,Ring-billed gull,752,Day,Y,,0,0,0,0,0,,,125
,SARASOTA-BRADENTON,Unknown,UNKNOWN,1,,,,,3/18/00 0:00,200849,No damage,,,UNKNOWN,Florida,,,TRUE,FALSE,FOUND AT DAWN BY TWY B,3/18/00 0:00,,,Sandpipers,,,,,0,0,0,0,,,,
,JOHN WAYNE AIRPORT,Unknown,UNKNOWN,1,,,,,3/18/00 0:00,203137,No damage,,,UNKNOWN,California,,,TRUE,FALSE,"FOUND AT 1415, DAY. NO SIGNIF DMG TO BIRD.",3/18/00 0:00,,,Gulls,,,,,0,0,0,0,,,,
Airplane,LAMBERT-ST LOUIS INTL,< 1000 ft,MD-80,1,None,,,,3/18/00 0:00,202421,No damage,,2,TRANS WORLD AIRLINES,Missouri,Landing Roll,None,FALSE,FALSE,"ON NOSE WHEEL TOUCHDOWN, BIRD FLEW INTO NOSE GEAR AREA.",3/23/00 0:00,Small,Some Cloud,Unknown bird - small,1030,Day,Y,,0,0,0,0,0,,,110
Airplane,KETCHIKAN INTL ARPT,< 1000 ft,B-737-400,1,None,,,,3/18/00 0:00,201461,No damage,,2,ALASKA AIRLINES,Alaska,Landing Roll,None,FALSE,FALSE,"EAGLE HIT NOSE GEAR DOOR. SENT TO REHAB CENTER. TIME LOST 30 MINS. BIRD REPTD AS EAGLE, ASSUME BALD.",4/5/00 0:00,Large,Overcast,Bald eagle,,Day,N,1,0,0,0,0,0,,,140
Airplane,WILL ROGERS WORLD ARPT,Unknown,B-727-200,1,,,,,3/19/00 0:00,203933,No damage,,3,UNITED AIRLINES,Oklahoma,Climb,,FALSE,FALSE,SUSPECTED BIRDSTRIKE ON #3 & #1 ENG AFTER T/O ROLL. ENG OPS NORMAL. FOUND EVIDENCE ON RT WING OTBD SLATS.,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,120
Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,MD-82,1,None,,,,3/19/00 0:00,204509,No damage,,2,CONTINENTAL AIRLINES,Florida,Take-off run,None,FALSE,FALSE,"PILOT OF FLT 260 REPTD BIRD STRIKE ON T/O, IMMED AFTER DEPTG. OPS REMOVED TV FROM S SIDE OF RWY 6 NEAR TYW A-4.",3/19/00 0:00,Large,Some Cloud,Turkey vulture,,Dawn,Y,,0,0,0,0,0,,,120
Airplane,VANCOUVER INTL,< 1000 ft,B-727-200,1,,,,,3/20/00 0:00,201817,No damage,,3,NORTHWEST AIRLINES,British Columbia,Approach,,FALSE,FALSE,FLT 9792,,Medium,,Unknown bird - medium,,,,,0,0,0,,200,,,
Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,A-320,1,,,,,3/20/00 0:00,204528,No damage,,2,AIR CANADA,California,Approach,,FALSE,FALSE,FLT 759,,Medium,,Unknown bird - medium,,,,,0,0,0,,200,,,
Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,B-727-200,1,,,,,3/20/00 0:00,202264,No damage,,3,DELTA AIR LINES,Kentucky,Climb,Rain,FALSE,FALSE,WE COULD NOT TELL WHERE BIRD HIT. (DATA ENTRY NOTE: NOSE WAS CHECKED ALONG WITH OTHER),,Small,Overcast,Killdeer,,Day,N,,0,0,0,,100,,,155
Airplane,SACRAMENTO INTL,Unknown,B-737-300,2 to 10,Precautionary Landing,,,469,3/20/00 0:00,201706,Caused damage,,2,DELTA AIR LINES,California,Climb,,FALSE,FALSE,FLT REPTD INGESTING TWO BIRDS IN #1 ENG AFTER DEPTR. RETD TO ARPT W/O INCIDENT. ENG VIBRATION FELT ON FLT DECK. OVERWT LDG INSPN NEEDED. BORESCOPED ENG. 1 BLADE DAMAGED REPLACED 2 FAN BLADES.,,Medium,,Unknown bird - medium,1056,Day,,,0,0,0,,,,,
Airplane,DALLAS/FORT WORTH INTL ARPT,> 1000 ft,FOKKER F100,1,None,,,,3/20/00 0:00,202070,No damage,,2,AMERICAN AIRLINES,Texas,Descent,None,FALSE,FALSE,HIT JUST BELOW CAPT WINDSHLD,3/20/00 0:00,Small,Some Cloud,Unknown bird - small,1740,Day,,,0,0,0,,"11,000",,,250
,TETERBORO AIRPORT,Unknown,UNKNOWN,1,,,,,3/20/00 0:00,201644,No damage,,,UNKNOWN,New Jersey,,,TRUE,FALSE,"PARTIAL GULL FOUND AT 0815, DAY.",3/20/00 0:00,,,Gulls,,,,,0,0,0,0,,,,
,TETERBORO AIRPORT,Unknown,UNKNOWN,1,,,,,3/20/00 0:00,203367,No damage,,,UNKNOWN,New Jersey,,,TRUE,FALSE,"FOUND AT 1545, DAY.",3/20/00 0:00,Medium,,Unknown bird - medium,,,,,0,0,0,0,,,,
,PHOENIX SKY HARBOR,Unknown,UNKNOWN,2 to 10,,,,,3/20/00 0:00,203937,No damage,,,UNKNOWN,Arizona,,,TRUE,FALSE,FOUND PARTS OF 3 BIRDS ON RWY 8L/26R,3/20/00 0:00,Small,,Rock pigeon,,,,,0,0,0,0,,,,
Airplane,TULSA INTL,> 1000 ft,FOKKER F100,1,None,,,,3/20/00 0:00,202485,No damage,,2,AMERICAN AIRLINES,Oklahoma,Descent,None,FALSE,FALSE,SPARROW?,3/21/00 0:00,,No Cloud,Sparrows,,Night,N,,0,0,0,,"5,000",,,250
Airplane,FORT SMITH MUNICIPAL ARPT,Unknown,T-1A,,,,,,3/20/00 0:00,2675,No damage,,,MILITARY,Arkansas,Landing Roll,None,FALSE,FALSE,"Old Form 853 report.

Possible Horned Lark",1/19/01 13:32,Medium,No Clouds,Unknown bird or bat,1210,Day,,0,0,0,0,0,,,,
Airplane,FORT SMITH MUNICIPAL ARPT,< 1000 ft,T-1A,1,None,,,,3/20/00 0:00,2676,No damage,,,MILITARY,Arkansas,Approach,None,FALSE,FALSE,,7/17/01 10:15,Medium,No Clouds,Unknown bird - medium,,Day,,,0,0,0,,50,,,115
Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,BE-1900,1,None,,,,3/21/00 0:00,201744,No damage,,2,COMMUTAIR,DC,Approach,None,FALSE,FALSE,FLT 4687. ASSUME RBGU AS THEY COMPRISED100% OF GULLS OBSERVED ON ARPT DURING MONTH OF STRIKE.,,Medium,Some Cloud,Ring-billed gull,1037,Day,Y,,0,0,0,,100,,,120
Airplane,RALEIGH-DURHAM INTL,< 1000 ft,VOLPARE BE18,1,None,,,,3/21/00 0:00,201043,No damage,,2,BUSINESS,North Carolina,Climb,None,FALSE,FALSE,,,Small,Overcast,Unknown bird - small,,Day,Y,,0,0,0,,150,,,130
Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,B-727-200,11 to 100,None,,,,3/21/00 0:00,201743,No damage,,3,AMERICAN AIRLINES,Texas,Approach,Rain,FALSE,FALSE,"FLT 940. SAW ABOUT 30 BIRDS, ABOUT 12 HITS TO RADOME, LOWER FUSELAGE, BOTH WINGS ON LE DEVICES AND TRAILING EDGE FLAPS.",,Small,Overcast,European starling,1758,Dusk,N,,0,0,0,,100,,,
Airplane,GENERAL MITCHELL INTL,< 1000 ft,B-737-300,1,None,,,,3/21/00 0:00,200293,No damage,,2,AMERICA WEST AIRLINES,Wisconsin,Climb,None,FALSE,FALSE,FLT 794,3/21/00 0:00,,Some Cloud,Hawks,1619,Day,,,0,0,0,,50,,,160
Airplane,WILL ROGERS WORLD ARPT,< 1000 ft,C-130H,1,Other,,,,3/21/00 0:00,2677,No damage,,,MILITARY,Oklahoma,Approach,Rain,FALSE,FALSE,"During short final Assault Zone landing (RWY18) at Will Rogers WAP, the pilot saw a single bird and crew heard impact.  Due to close proximity ot ground and critical phase of flight, no evasive action was taken.  Flight crew estimated impact on nose of ai",5/25/00 13:56,Small,Overcast,Unknown bird - small,2130,Night,,,0,0,0,,100,,,105
Airplane,PALM SPRINGS INTL,< 1000 ft,SAAB-340,1,None,,,,3/22/00 0:00,200104,No damage,,2,AMERICAN EAGLE AIRLINES,California,Approach,None,FALSE,FALSE,BLACKBIRD? TIME OUT OF SVC 1/2 HR,,Small,No Cloud,Unknown bird - small,,Day,N,1,0,0,0,,"1,000",,,140
Airplane,DES MOINES INTL,> 1000 ft,B-727,1,None,,,,3/22/00 0:00,200028,No damage,8 MI N DSM,3,UNITED AIRLINES,Iowa,Approach,None,FALSE,FALSE,FLT 629,,Large,No Cloud,Unknown bird - large,,Night,Y,,0,0,0,8,"3,000",,,200
Airplane,MYRTLE BEACH INTL,Unknown,B-737-300,1,None,,,,3/22/00 0:00,200226,No damage,,2,US AIRWAYS*,South Carolina,Descent,None,FALSE,FALSE,,,Small,No Cloud,Unknown bird - small,,Day,N,,0,0,0,,,,,
